raceId,year,round,name,driverId,surname,position,points
18,2008,1,Australian Grand Prix,1,Hamilton,1,10
18,2008,1,Australian Grand Prix,2,Heidfeld,2,8
18,2008,1,Australian Grand Prix,3,Rosberg,3,6
18,2008,1,Australian Grand Prix,4,Alonso,4,5
18,2008,1,Australian Grand Prix,5,Kovalainen,5,4
18,2008,1,Australian Grand Prix,6,Nakajima,6,3
18,2008,1,Australian Grand Prix,7,Bourdais,7,2
18,2008,1,Australian Grand Prix,8,Räikkönen,8,1
19,2008,2,Malaysian Grand Prix,8,Räikkönen,1,10
19,2008,2,Malaysian Grand Prix,9,Kubica,2,8
19,2008,2,Malaysian Grand Prix,5,Kovalainen,3,6
19,2008,2,Malaysian Grand Prix,15,Trulli,4,5
19,2008,2,Malaysian Grand Prix,1,Hamilton,5,4
19,2008,2,Malaysian Grand Prix,2,Heidfeld,6,3
19,2008,2,Malaysian Grand Prix,17,Webber,7,2
19,2008,2,Malaysian Grand Prix,4,Alonso,8,1
19,2008,2,Malaysian Grand Prix,14,Coulthard,9,0
19,2008,2,Malaysian Grand Prix,18,Button,10,0
19,2008,2,Malaysian Grand Prix,12,Piquet Jr.,11,0
19,2008,2,Malaysian Grand Prix,21,Fisichella,12,0
19,2008,2,Malaysian Grand Prix,22,Barrichello,13,0
19,2008,2,Malaysian Grand Prix,3,Rosberg,14,0
19,2008,2,Malaysian Grand Prix,19,Davidson,15,0
19,2008,2,Malaysian Grand Prix,11,Sato,16,0
19,2008,2,Malaysian Grand Prix,6,Nakajima,17,0
20,2008,3,Bahrain Grand Prix,13,Massa,1,10
20,2008,3,Bahrain Grand Prix,8,Räikkönen,2,8
20,2008,3,Bahrain Grand Prix,9,Kubica,3,6
20,2008,3,Bahrain Grand Prix,2,Heidfeld,4,5
20,2008,3,Bahrain Grand Prix,5,Kovalainen,5,4
20,2008,3,Bahrain Grand Prix,15,Trulli,6,3
20,2008,3,Bahrain Grand Prix,17,Webber,7,2
20,2008,3,Bahrain Grand Prix,3,Rosberg,8,1
20,2008,3,Bahrain Grand Prix,10,Glock,9,0
20,2008,3,Bahrain Grand Prix,4,Alonso,10,0
20,2008,3,Bahrain Grand Prix,22,Barrichello,11,0
20,2008,3,Bahrain Grand Prix,21,Fisichella,12,0
20,2008,3,Bahrain Grand Prix,1,Hamilton,13,0
20,2008,3,Bahrain Grand Prix,6,Nakajima,14,0
20,2008,3,Bahrain Grand Prix,7,Bourdais,15,0
20,2008,3,Bahrain Grand Prix,19,Davidson,16,0
20,2008,3,Bahrain Grand Prix,11,Sato,17,0
20,2008,3,Bahrain Grand Prix,14,Coulthard,18,0
20,2008,3,Bahrain Grand Prix,16,Sutil,19,0
21,2008,4,Spanish Grand Prix,8,Räikkönen,1,10
21,2008,4,Spanish Grand Prix,13,Massa,2,8
21,2008,4,Spanish Grand Prix,1,Hamilton,3,6
21,2008,4,Spanish Grand Prix,9,Kubica,4,5
21,2008,4,Spanish Grand Prix,17,Webber,5,4
21,2008,4,Spanish Grand Prix,18,Button,6,3
21,2008,4,Spanish Grand Prix,6,Nakajima,7,2
21,2008,4,Spanish Grand Prix,15,Trulli,8,1
21,2008,4,Spanish Grand Prix,2,Heidfeld,9,0
21,2008,4,Spanish Grand Prix,21,Fisichella,10,0
21,2008,4,Spanish Grand Prix,10,Glock,11,0
21,2008,4,Spanish Grand Prix,14,Coulthard,12,0
21,2008,4,Spanish Grand Prix,11,Sato,13,0
22,2008,5,Turkish Grand Prix,13,Massa,1,10
22,2008,5,Turkish Grand Prix,1,Hamilton,2,8
22,2008,5,Turkish Grand Prix,8,Räikkönen,3,6
22,2008,5,Turkish Grand Prix,9,Kubica,4,5
22,2008,5,Turkish Grand Prix,2,Heidfeld,5,4
22,2008,5,Turkish Grand Prix,4,Alonso,6,3
22,2008,5,Turkish Grand Prix,17,Webber,7,2
22,2008,5,Turkish Grand Prix,3,Rosberg,8,1
22,2008,5,Turkish Grand Prix,14,Coulthard,9,0
22,2008,5,Turkish Grand Prix,15,Trulli,10,0
22,2008,5,Turkish Grand Prix,18,Button,11,0
22,2008,5,Turkish Grand Prix,5,Kovalainen,12,0
22,2008,5,Turkish Grand Prix,10,Glock,13,0
22,2008,5,Turkish Grand Prix,22,Barrichello,14,0
22,2008,5,Turkish Grand Prix,12,Piquet Jr.,15,0
22,2008,5,Turkish Grand Prix,16,Sutil,16,0
22,2008,5,Turkish Grand Prix,20,Vettel,17,0
23,2008,6,Monaco Grand Prix,1,Hamilton,1,10
23,2008,6,Monaco Grand Prix,9,Kubica,2,8
23,2008,6,Monaco Grand Prix,13,Massa,3,6
23,2008,6,Monaco Grand Prix,17,Webber,4,5
23,2008,6,Monaco Grand Prix,20,Vettel,5,4
23,2008,6,Monaco Grand Prix,22,Barrichello,6,3
23,2008,6,Monaco Grand Prix,6,Nakajima,7,2
23,2008,6,Monaco Grand Prix,5,Kovalainen,8,1
23,2008,6,Monaco Grand Prix,8,Räikkönen,9,0
23,2008,6,Monaco Grand Prix,4,Alonso,10,0
23,2008,6,Monaco Grand Prix,18,Button,11,0
23,2008,6,Monaco Grand Prix,10,Glock,12,0
23,2008,6,Monaco Grand Prix,15,Trulli,13,0
23,2008,6,Monaco Grand Prix,2,Heidfeld,14,0
24,2008,7,Canadian Grand Prix,9,Kubica,1,10
24,2008,7,Canadian Grand Prix,2,Heidfeld,2,8
24,2008,7,Canadian Grand Prix,14,Coulthard,3,6
24,2008,7,Canadian Grand Prix,10,Glock,4,5
24,2008,7,Canadian Grand Prix,13,Massa,5,4
24,2008,7,Canadian Grand Prix,15,Trulli,6,3
24,2008,7,Canadian Grand Prix,22,Barrichello,7,2
24,2008,7,Canadian Grand Prix,20,Vettel,8,1
24,2008,7,Canadian Grand Prix,5,Kovalainen,9,0
24,2008,7,Canadian Grand Prix,3,Rosberg,10,0
24,2008,7,Canadian Grand Prix,18,Button,11,0
24,2008,7,Canadian Grand Prix,17,Webber,12,0
24,2008,7,Canadian Grand Prix,7,Bourdais,13,0
25,2008,8,French Grand Prix,13,Massa,1,10
25,2008,8,French Grand Prix,8,Räikkönen,2,8
25,2008,8,French Grand Prix,15,Trulli,3,6
25,2008,8,French Grand Prix,5,Kovalainen,4,5
25,2008,8,French Grand Prix,9,Kubica,5,4
25,2008,8,French Grand Prix,17,Webber,6,3
25,2008,8,French Grand Prix,12,Piquet Jr.,7,2
25,2008,8,French Grand Prix,4,Alonso,8,1
25,2008,8,French Grand Prix,14,Coulthard,9,0
25,2008,8,French Grand Prix,1,Hamilton,10,0
25,2008,8,French Grand Prix,10,Glock,11,0
25,2008,8,French Grand Prix,20,Vettel,12,0
25,2008,8,French Grand Prix,2,Heidfeld,13,0
25,2008,8,French Grand Prix,22,Barrichello,14,0
25,2008,8,French Grand Prix,6,Nakajima,15,0
25,2008,8,French Grand Prix,3,Rosberg,16,0
25,2008,8,French Grand Prix,7,Bourdais,17,0
25,2008,8,French Grand Prix,21,Fisichella,18,0
25,2008,8,French Grand Prix,16,Sutil,19,0
26,2008,9,British Grand Prix,1,Hamilton,1,10
26,2008,9,British Grand Prix,2,Heidfeld,2,8
26,2008,9,British Grand Prix,22,Barrichello,3,6
26,2008,9,British Grand Prix,8,Räikkönen,4,5
26,2008,9,British Grand Prix,5,Kovalainen,5,4
26,2008,9,British Grand Prix,4,Alonso,6,3
26,2008,9,British Grand Prix,15,Trulli,7,2
26,2008,9,British Grand Prix,6,Nakajima,8,1
26,2008,9,British Grand Prix,3,Rosberg,9,0
26,2008,9,British Grand Prix,17,Webber,10,0
26,2008,9,British Grand Prix,7,Bourdais,11,0
26,2008,9,British Grand Prix,10,Glock,12,0
26,2008,9,British Grand Prix,13,Massa,13,0
27,2008,10,German Grand Prix,1,Hamilton,1,10
27,2008,10,German Grand Prix,12,Piquet Jr.,2,8
27,2008,10,German Grand Prix,13,Massa,3,6
27,2008,10,German Grand Prix,2,Heidfeld,4,5
27,2008,10,German Grand Prix,5,Kovalainen,5,4
27,2008,10,German Grand Prix,8,Räikkönen,6,3
27,2008,10,German Grand Prix,9,Kubica,7,2
27,2008,10,German Grand Prix,20,Vettel,8,1
27,2008,10,German Grand Prix,15,Trulli,9,0
27,2008,10,German Grand Prix,3,Rosberg,10,0
27,2008,10,German Grand Prix,4,Alonso,11,0
27,2008,10,German Grand Prix,7,Bourdais,12,0
27,2008,10,German Grand Prix,14,Coulthard,13,0
27,2008,10,German Grand Prix,6,Nakajima,14,0
27,2008,10,German Grand Prix,16,Sutil,15,0
27,2008,10,German Grand Prix,21,Fisichella,16,0
27,2008,10,German Grand Prix,18,Button,17,0
28,2008,11,Hungarian Grand Prix,5,Kovalainen,1,10
28,2008,11,Hungarian Grand Prix,10,Glock,2,8
28,2008,11,Hungarian Grand Prix,8,Räikkönen,3,6
28,2008,11,Hungarian Grand Prix,4,Alonso,4,5
28,2008,11,Hungarian Grand Prix,1,Hamilton,5,4
28,2008,11,Hungarian Grand Prix,12,Piquet Jr.,6,3
28,2008,11,Hungarian Grand Prix,15,Trulli,7,2
28,2008,11,Hungarian Grand Prix,9,Kubica,8,1
28,2008,11,Hungarian Grand Prix,17,Webber,9,0
28,2008,11,Hungarian Grand Prix,2,Heidfeld,10,0
28,2008,11,Hungarian Grand Prix,14,Coulthard,11,0
28,2008,11,Hungarian Grand Prix,18,Button,12,0
28,2008,11,Hungarian Grand Prix,6,Nakajima,13,0
28,2008,11,Hungarian Grand Prix,3,Rosberg,14,0
28,2008,11,Hungarian Grand Prix,21,Fisichella,15,0
28,2008,11,Hungarian Grand Prix,22,Barrichello,16,0
28,2008,11,Hungarian Grand Prix,13,Massa,17,0
28,2008,11,Hungarian Grand Prix,7,Bourdais,18,0
29,2008,12,European Grand Prix,13,Massa,1,10
29,2008,12,European Grand Prix,1,Hamilton,2,8
29,2008,12,European Grand Prix,9,Kubica,3,6
29,2008,12,European Grand Prix,5,Kovalainen,4,5
29,2008,12,European Grand Prix,15,Trulli,5,4
29,2008,12,European Grand Prix,20,Vettel,6,3
29,2008,12,European Grand Prix,10,Glock,7,2
29,2008,12,European Grand Prix,3,Rosberg,8,1
29,2008,12,European Grand Prix,2,Heidfeld,9,0
29,2008,12,European Grand Prix,7,Bourdais,10,0
29,2008,12,European Grand Prix,12,Piquet Jr.,11,0
29,2008,12,European Grand Prix,17,Webber,12,0
29,2008,12,European Grand Prix,18,Button,13,0
29,2008,12,European Grand Prix,21,Fisichella,14,0
29,2008,12,European Grand Prix,6,Nakajima,15,0
29,2008,12,European Grand Prix,22,Barrichello,16,0
29,2008,12,European Grand Prix,14,Coulthard,17,0
30,2008,13,Belgian Grand Prix,13,Massa,1,10
30,2008,13,Belgian Grand Prix,2,Heidfeld,2,8
30,2008,13,Belgian Grand Prix,1,Hamilton,3,6
30,2008,13,Belgian Grand Prix,4,Alonso,4,5
30,2008,13,Belgian Grand Prix,20,Vettel,5,4
30,2008,13,Belgian Grand Prix,9,Kubica,6,3
30,2008,13,Belgian Grand Prix,7,Bourdais,7,2
30,2008,13,Belgian Grand Prix,17,Webber,8,1
30,2008,13,Belgian Grand Prix,10,Glock,9,0
30,2008,13,Belgian Grand Prix,5,Kovalainen,10,0
30,2008,13,Belgian Grand Prix,14,Coulthard,11,0
30,2008,13,Belgian Grand Prix,3,Rosberg,12,0
30,2008,13,Belgian Grand Prix,16,Sutil,13,0
30,2008,13,Belgian Grand Prix,6,Nakajima,14,0
30,2008,13,Belgian Grand Prix,18,Button,15,0
30,2008,13,Belgian Grand Prix,15,Trulli,16,0
30,2008,13,Belgian Grand Prix,21,Fisichella,17,0
30,2008,13,Belgian Grand Prix,8,Räikkönen,18,0
31,2008,14,Italian Grand Prix,20,Vettel,1,10
31,2008,14,Italian Grand Prix,5,Kovalainen,2,8
31,2008,14,Italian Grand Prix,9,Kubica,3,6
31,2008,14,Italian Grand Prix,4,Alonso,4,5
31,2008,14,Italian Grand Prix,2,Heidfeld,5,4
31,2008,14,Italian Grand Prix,13,Massa,6,3
31,2008,14,Italian Grand Prix,1,Hamilton,7,2
31,2008,14,Italian Grand Prix,17,Webber,8,1
31,2008,14,Italian Grand Prix,8,Räikkönen,9,0
31,2008,14,Italian Grand Prix,12,Piquet Jr.,10,0
31,2008,14,Italian Grand Prix,10,Glock,11,0
31,2008,14,Italian Grand Prix,6,Nakajima,12,0
31,2008,14,Italian Grand Prix,15,Trulli,13,0
31,2008,14,Italian Grand Prix,3,Rosberg,14,0
31,2008,14,Italian Grand Prix,18,Button,15,0
31,2008,14,Italian Grand Prix,14,Coulthard,16,0
31,2008,14,Italian Grand Prix,22,Barrichello,17,0
31,2008,14,Italian Grand Prix,7,Bourdais,18,0
31,2008,14,Italian Grand Prix,16,Sutil,19,0
32,2008,15,Singapore Grand Prix,4,Alonso,1,10
32,2008,15,Singapore Grand Prix,3,Rosberg,2,8
32,2008,15,Singapore Grand Prix,1,Hamilton,3,6
32,2008,15,Singapore Grand Prix,10,Glock,4,5
32,2008,15,Singapore Grand Prix,20,Vettel,5,4
32,2008,15,Singapore Grand Prix,2,Heidfeld,6,3
32,2008,15,Singapore Grand Prix,14,Coulthard,7,2
32,2008,15,Singapore Grand Prix,6,Nakajima,8,1
32,2008,15,Singapore Grand Prix,18,Button,9,0
32,2008,15,Singapore Grand Prix,5,Kovalainen,10,0
32,2008,15,Singapore Grand Prix,9,Kubica,11,0
32,2008,15,Singapore Grand Prix,7,Bourdais,12,0
32,2008,15,Singapore Grand Prix,13,Massa,13,0
32,2008,15,Singapore Grand Prix,21,Fisichella,14,0
32,2008,15,Singapore Grand Prix,8,Räikkönen,15,0
33,2008,16,Japanese Grand Prix,4,Alonso,1,10
33,2008,16,Japanese Grand Prix,9,Kubica,2,8
33,2008,16,Japanese Grand Prix,8,Räikkönen,3,6
33,2008,16,Japanese Grand Prix,12,Piquet Jr.,4,5
33,2008,16,Japanese Grand Prix,15,Trulli,5,4
33,2008,16,Japanese Grand Prix,20,Vettel,6,3
33,2008,16,Japanese Grand Prix,13,Massa,7,2
33,2008,16,Japanese Grand Prix,17,Webber,8,1
33,2008,16,Japanese Grand Prix,2,Heidfeld,9,0
33,2008,16,Japanese Grand Prix,7,Bourdais,10,0
33,2008,16,Japanese Grand Prix,3,Rosberg,11,0
33,2008,16,Japanese Grand Prix,1,Hamilton,12,0
33,2008,16,Japanese Grand Prix,22,Barrichello,13,0
33,2008,16,Japanese Grand Prix,18,Button,14,0
33,2008,16,Japanese Grand Prix,6,Nakajima,15,0
34,2008,17,Chinese Grand Prix,1,Hamilton,1,10
34,2008,17,Chinese Grand Prix,13,Massa,2,8
34,2008,17,Chinese Grand Prix,8,Räikkönen,3,6
34,2008,17,Chinese Grand Prix,4,Alonso,4,5
34,2008,17,Chinese Grand Prix,2,Heidfeld,5,4
34,2008,17,Chinese Grand Prix,9,Kubica,6,3
34,2008,17,Chinese Grand Prix,10,Glock,7,2
34,2008,17,Chinese Grand Prix,12,Piquet Jr.,8,1
34,2008,17,Chinese Grand Prix,20,Vettel,9,0
34,2008,17,Chinese Grand Prix,14,Coulthard,10,0
34,2008,17,Chinese Grand Prix,22,Barrichello,11,0
34,2008,17,Chinese Grand Prix,6,Nakajima,12,0
34,2008,17,Chinese Grand Prix,7,Bourdais,13,0
34,2008,17,Chinese Grand Prix,17,Webber,14,0
34,2008,17,Chinese Grand Prix,3,Rosberg,15,0
34,2008,17,Chinese Grand Prix,18,Button,16,0
34,2008,17,Chinese Grand Prix,21,Fisichella,17,0
35,2008,18,Brazilian Grand Prix,13,Massa,1,10
35,2008,18,Brazilian Grand Prix,4,Alonso,2,8
35,2008,18,Brazilian Grand Prix,8,Räikkönen,3,6
35,2008,18,Brazilian Grand Prix,20,Vettel,4,5
35,2008,18,Brazilian Grand Prix,1,Hamilton,5,4
35,2008,18,Brazilian Grand Prix,10,Glock,6,3
35,2008,18,Brazilian Grand Prix,5,Kovalainen,7,2
35,2008,18,Brazilian Grand Prix,15,Trulli,8,1
35,2008,18,Brazilian Grand Prix,17,Webber,9,0
35,2008,18,Brazilian Grand Prix,2,Heidfeld,10,0
35,2008,18,Brazilian Grand Prix,9,Kubica,11,0
35,2008,18,Brazilian Grand Prix,3,Rosberg,12,0
35,2008,18,Brazilian Grand Prix,18,Button,13,0
35,2008,18,Brazilian Grand Prix,7,Bourdais,14,0
35,2008,18,Brazilian Grand Prix,22,Barrichello,15,0
